Source,Target,Type,Id,Label,timeset,Weight
ENSG00000122877,ENSG00000281100,Directed,246,,,1
ENSG00000122877,ENSG00000141858,Directed,247,,,1
ENSG00000122877,ENSG00000163348,Directed,248,,,1
ENSG00000122877,ENSG00000107140,Directed,249,,,1
ENSG00000122877,ENSG00000129911,Directed,250,,,1
ENSG00000122877,ENSG00000061918,Directed,251,,,1
ENSG00000122877,ENSG00000198853,Directed,252,,,1
ENSG00000122877,ENSG00000076984,Directed,253,,,1
ENSG00000122877,ENSG00000006327,Directed,254,,,1
ENSG00000122877,ENSG00000071564,Directed,255,,,1
ENSG00000122877,ENSG00000167543,Directed,256,,,1
ENSG00000122877,ENSG00000160408,Directed,257,,,1
ENSG00000122877,ENSG00000271646,Directed,258,,,1
ENSG00000122877,ENSG00000204227,Directed,259,,,1
ENSG00000122877,ENSG00000107562,Directed,260,,,1
ENSG00000122877,ENSG00000165458,Directed,261,,,1
ENSG00000122877,ENSG00000204469,Directed,262,,,1
ENSG00000122877,ENSG00000198039,Directed,263,,,1
ENSG00000122877,ENSG00000143147,Directed,264,,,1
ENSG00000122877,ENSG00000270426,Directed,265,,,1
ENSG00000122877,ENSG00000106263,Directed,266,,,1
ENSG00000122877,ENSG00000258135,Directed,267,,,1
ENSG00000122877,ENSG00000179886,Directed,268,,,1
ENSG00000122877,ENSG00000196668,Directed,269,,,1
ENSG00000122877,ENSG00000246366,Directed,270,,,1
ENSG00000122877,ENSG00000127445,Directed,271,,,1
ENSG00000122877,ENSG00000198570,Directed,272,,,1
ENSG00000122877,ENSG00000188176,Directed,273,,,1
ENSG00000122877,ENSG00000142765,Directed,274,,,1
ENSG00000122877,ENSG00000229689,Directed,275,,,1
ENSG00000122877,ENSG00000183785,Directed,276,,,1
ENSG00000122877,ENSG00000104524,Directed,277,,,1
ENSG00000122877,ENSG00000108821,Directed,278,,,1
ENSG00000122877,ENSG00000120093,Directed,279,,,1
ENSG00000122877,ENSG00000179588,Directed,280,,,1
ENSG00000122877,ENSG00000169635,Directed,281,,,1
ENSG00000122877,ENSG00000235478,Directed,282,,,1
ENSG00000122877,ENSG00000205903,Directed,283,,,1
ENSG00000122877,ENSG00000247317,Directed,284,,,1
ENSG00000122877,ENSG00000198324,Directed,285,,,1
ENSG00000122877,ENSG00000078269,Directed,286,,,1
ENSG00000122877,ENSG00000178951,Directed,287,,,1
ENSG00000122877,ENSG00000159648,Directed,288,,,1
ENSG00000122877,ENSG00000051128,Directed,289,,,1
ENSG00000122877,ENSG00000182979,Directed,290,,,1
ENSG00000122877,ENSG00000131398,Directed,291,,,1
ENSG00000122877,ENSG00000006015,Directed,292,,,1
ENSG00000122877,ENSG00000071655,Directed,293,,,1
ENSG00000122877,ENSG00000164093,Directed,294,,,1
ENSG00000122877,ENSG00000179632,Directed,295,,,1
ENSG00000122877,ENSG00000260526,Directed,296,,,1
ENSG00000122877,ENSG00000232504,Directed,297,,,1
ENSG00000122877,ENSG00000109501,Directed,298,,,1
ENSG00000122877,ENSG00000148341,Directed,299,,,1
ENSG00000122877,ENSG00000186866,Directed,300,,,1
ENSG00000122877,ENSG00000197355,Directed,301,,,1
ENSG00000122877,ENSG00000108405,Directed,302,,,1
ENSG00000122877,ENSG00000078902,Directed,303,,,1
ENSG00000122877,ENSG00000112276,Directed,304,,,1
ENSG00000122877,ENSG00000104976,Directed,305,,,1
ENSG00000122877,ENSG00000107872,Directed,306,,,1
ENSG00000122877,ENSG00000164877,Directed,307,,,1
ENSG00000122877,ENSG00000188322,Directed,308,,,1
ENSG00000122877,ENSG00000177225,Directed,309,,,1
ENSG00000122877,ENSG00000126603,Directed,310,,,1
ENSG00000122877,ENSG00000197696,Directed,311,,,1
ENSG00000122877,ENSG00000044524,Directed,312,,,1
ENSG00000122877,ENSG00000138834,Directed,313,,,1
ENSG00000122877,ENSG00000261504,Directed,314,,,1
ENSG00000122877,ENSG00000172819,Directed,315,,,1
ENSG00000122877,ENSG00000196092,Directed,316,,,1
ENSG00000122877,ENSG00000088826,Directed,317,,,1
ENSG00000122877,ENSG00000125520,Directed,318,,,1
ENSG00000122877,ENSG00000215375,Directed,319,,,1
ENSG00000122877,ENSG00000196388,Directed,320,,,1
ENSG00000122877,ENSG00000138769,Directed,321,,,1
ENSG00000122877,ENSG00000260714,Directed,322,,,1
ENSG00000122877,ENSG00000240857,Directed,323,,,1
ENSG00000122877,ENSG00000198055,Directed,324,,,1
ENSG00000122877,ENSG00000070423,Directed,325,,,1
ENSG00000122877,ENSG00000143851,Directed,326,,,1
ENSG00000122877,ENSG00000091262,Directed,327,,,1
ENSG00000122877,ENSG00000272690,Directed,328,,,1
ENSG00000122877,ENSG00000137331,Directed,329,,,1
ENSG00000122877,ENSG00000102882,Directed,330,,,1
ENSG00000122877,ENSG00000167106,Directed,331,,,1
